epoch,train_loss,val_dice,dice_overall,dice_NCR,dice_ED,dice_ET,time_sec
19,0.9843,0.9119,0.7207,0.6774,0.7801,0.7044,568
20,0.9871,0.9093,0.7344,0.6945,0.7864,0.7222,565.5
21,0.9829,0.911,0.7118,0.6713,0.7546,0.7096,564.2
22,0.9832,0.9156,0.7284,0.6806,0.7875,0.7171,564
23,0.9753,0.9106,0.712,0.6691,0.7703,0.6967,567.1
24,0.9816,0.916,0.7039,0.6604,0.7574,0.6938,562.5
25,0.9778,0.9119,0.7229,0.6847,0.7759,0.7081,568.6
26,0.9741,0.9116,0.7342,0.7053,0.791,0.7064,567.6
27,0.9723,0.9104,0.7269,0.69,0.7794,0.7113,565.7
28,0.9725,0.9136,0.7252,0.688,0.7767,0.7109,566.5
29,0.9691,0.9109,0.7308,0.7006,0.7791,0.7127,560.6
30,0.9709,0.9112,0.7364,0.7087,0.7928,0.7078,564.9
31,0.9715,0.9096,0.7313,0.7016,0.7861,0.7061,567.5
32,0.9677,0.9132,0.7283,0.6931,0.7837,0.708,567.6
33,0.9681,0.9096,0.726,0.6963,0.7776,0.7041,568
34,0.9703,0.9119,0.7257,0.6947,0.777,0.7053,567.6
35,0.9675,0.9089,0.7231,0.6916,0.7708,0.7068,562.8
36,0.9688,0.9098,0.72,0.6945,0.7657,0.6997,568.3
37,0.9667,0.9107,0.7408,0.7151,0.7969,0.7105,572.3
38,0.9638,0.9089,0.7249,0.6813,0.7818,0.7115,566
39,0.9664,0.9103,0.7247,0.6865,0.7745,0.7131,565.9
40,0.9651,0.9108,0.7226,0.6906,0.7745,0.7028,564.1
41,0.9616,0.9093,0.7273,0.681,0.7922,0.7085,564.2
42,0.9649,0.9135,0.7333,0.6953,0.7921,0.7126,564.3
43,0.965,0.9114,0.7402,0.7133,0.7971,0.7102,566.2
44,0.9644,0.9118,0.7379,0.6999,0.792,0.7217,566
45,0.9629,0.9099,0.7303,0.7003,0.7822,0.7084,566.4
46,0.9597,0.9091,0.743,0.7085,0.8017,0.719,566.3
47,0.9595,0.909,0.7329,0.6997,0.7941,0.7048,566.9
48,0.9622,0.913,0.7317,0.6946,0.7877,0.7128,563.9
49,0.9573,0.9102,0.7384,0.7075,0.7953,0.7123,568.6
50,0.9609,0.9099,0.7349,0.6993,0.7888,0.7168,583.4
51,0.9569,0.9102,0.7313,0.6906,0.7923,0.711,576.1
52,0.9604,0.91,0.7362,0.7,0.7922,0.7165,570.4
53,0.9552,0.9087,0.7382,0.7104,0.7938,0.7104,566
54,0.9559,0.9112,0.7358,0.7014,0.7922,0.7138,569.2
55,0.9583,0.9098,0.7302,0.6891,0.789,0.7125,564.8
56,0.9583,0.9103,0.7331,0.6958,0.791,0.7125,567.8
57,0.9567,0.9103,0.7375,0.7013,0.7973,0.7138,565.5
58,0.9561,0.9086,0.7333,0.6983,0.7892,0.7124,567
59,0.9582,0.91,0.737,0.6978,0.7957,0.7175,564.4
60,0.9601,0.9109,0.7428,0.7119,0.7992,0.7174,566.6
61,0.9552,0.9096,0.7387,0.7022,0.7961,0.7177,564.8
62,0.9536,0.9097,0.7354,0.6961,0.7937,0.7164,566.6
63,0.957,0.9099,0.7349,0.6955,0.7929,0.7162,564.4
64,0.956,0.9094,0.7419,0.7077,0.7981,0.72,567.9
65,0.9566,0.9105,0.7376,0.7004,0.7954,0.717,565.7
66,0.9569,0.9106,0.7388,0.7009,0.797,0.7186,562
1,1.0904,0.9261,0.5768,0.4618,0.6868,0.5819,613.1
2,1.0538,0.9275,0.6283,0.5482,0.7168,0.6198,599.9
3,1.0391,0.9256,0.667,0.6389,0.7018,0.6604,598.5
4,1.0257,0.9228,0.6188,0.5678,0.6808,0.6079,597
5,1.0201,0.9176,0.6543,0.5902,0.7029,0.6697,598.4
6,1.015,0.9142,0.7023,0.6767,0.7419,0.6882,593.3
7,1.0112,0.9146,0.6656,0.5833,0.7401,0.6736,599.9
8,1.0093,0.9174,0.6736,0.6361,0.7001,0.6847,589.4
9,1.0045,0.9155,0.7169,0.7001,0.7507,0.6998,577.8
10,1.0046,0.9179,0.6965,0.683,0.7245,0.6819,578.2
11,0.9988,0.9113,0.7261,0.6916,0.783,0.7038,580.2
12,0.9964,0.9125,0.7032,0.6522,0.7593,0.698,576
13,0.9933,0.9128,0.7299,0.6929,0.7896,0.7072,583.8
14,0.9946,0.9143,0.6996,0.6612,0.7567,0.6807,579.8
15,0.9912,0.9147,0.7206,0.6873,0.7701,0.7045,578.1
16,0.9865,0.9171,0.7022,0.6702,0.73,0.7062,579.8
17,0.9921,0.9107,0.736,0.7129,0.7818,0.7133,579
18,0.9897,0.915,0.6854,0.6094,0.7617,0.685,581.4
19,0.9843,0.9119,0.7207,0.6774,0.7801,0.7044,584
20,0.9871,0.9093,0.7344,0.6945,0.7864,0.7222,577.4
21,0.9829,0.911,0.7118,0.6713,0.7546,0.7096,582
22,0.9832,0.9156,0.7284,0.6806,0.7875,0.7171,578.6
23,0.9753,0.9106,0.712,0.6691,0.7703,0.6967,581.7
24,0.9816,0.916,0.7039,0.6604,0.7574,0.6938,577.1
25,0.9778,0.9119,0.7229,0.6847,0.7759,0.7081,577.8
26,0.9741,0.9116,0.7342,0.7053,0.791,0.7064,582.7
27,0.9723,0.9104,0.7269,0.69,0.7794,0.7113,577
28,0.9725,0.9136,0.7252,0.688,0.7767,0.7109,581.9
29,0.9691,0.9109,0.7308,0.7006,0.7791,0.7127,577
30,0.9709,0.9112,0.7364,0.7087,0.7928,0.7078,576.9
31,0.9715,0.9096,0.7313,0.7016,0.7861,0.7061,579.7
32,0.9677,0.9132,0.7283,0.6931,0.7837,0.708,576.8
33,0.9681,0.9096,0.726,0.6963,0.7776,0.7041,577.2
34,0.9703,0.9119,0.7257,0.6947,0.777,0.7053,577.9
35,0.9675,0.9089,0.7231,0.6916,0.7708,0.7068,579.6
36,0.9688,0.9098,0.72,0.6945,0.7657,0.6997,579.8
37,0.9667,0.9107,0.7408,0.7151,0.7969,0.7105,580.1
38,0.9638,0.9089,0.7249,0.6813,0.7818,0.7115,578.6
39,0.9664,0.9103,0.7247,0.6865,0.7745,0.7131,573.1
40,0.9651,0.9108,0.7226,0.6906,0.7745,0.7028,579.3
41,0.9616,0.9093,0.7273,0.681,0.7922,0.7085,576.3
42,0.9649,0.9135,0.7333,0.6953,0.7921,0.7126,578.1
43,0.965,0.9114,0.7402,0.7133,0.7971,0.7102,579.8
44,0.9644,0.9118,0.7379,0.6999,0.792,0.7217,577.1
45,0.9629,0.9099,0.7303,0.7003,0.7822,0.7084,581.2
46,0.9597,0.9091,0.743,0.7085,0.8017,0.719,578.6
47,0.9595,0.909,0.7329,0.6997,0.7941,0.7048,579.1
48,0.9622,0.913,0.7317,0.6946,0.7877,0.7128,580.5
49,0.9573,0.9102,0.7384,0.7075,0.7953,0.7123,580.8
50,0.9609,0.9099,0.7349,0.6993,0.7888,0.7168,575.8
51,0.9569,0.9102,0.7313,0.6906,0.7923,0.711,579.2
52,0.9604,0.91,0.7362,0.7,0.7922,0.7165,580.6
53,0.9552,0.9087,0.7381,0.7102,0.7938,0.7103,579.5
54,0.9559,0.9112,0.7357,0.7014,0.7923,0.7135,572.9
55,0.9583,0.9097,0.7302,0.6891,0.789,0.7126,571.4
56,0.9583,0.9103,0.7331,0.6958,0.7911,0.7123,571.4
57,0.9567,0.9103,0.7375,0.7011,0.7973,0.714,573.9
58,0.9561,0.9086,0.7331,0.6978,0.789,0.7123,574.1
59,0.9582,0.91,0.737,0.6976,0.7957,0.7176,569.3
60,0.9601,0.911,0.7427,0.7116,0.7991,0.7172,565.4
61,0.9552,0.9097,0.7387,0.7023,0.7962,0.7177,568.4
62,0.9536,0.9097,0.7352,0.6958,0.7934,0.7165,562.8
63,0.957,0.9099,0.735,0.6958,0.7929,0.7163,572.2
64,0.956,0.9095,0.7417,0.7073,0.7979,0.7201,570.3
65,0.9566,0.9105,0.7376,0.7003,0.7954,0.7169,568.2
66,0.9569,0.9106,0.7389,0.7008,0.7969,0.7189,573.6
